idx,layer,type,cond_32,cond_4,var_32,var_4,cosine_sim,dead_neuron_ratio,SNR,KL,SFR,magnitude_loss,RelErr,mse_error,inherited_error,error_delta,error_propagation,sensitivity_W4A8,instability_shap,shap_magnitude
12,trunk_output.block1.block1-0.f.c.0,Conv2d,4111.709961,1061.279541,0.043157928,0.042483445,0.992434204,,15.12830092,0.384299725,0.077001952,0.00034188,0.173258811,0.811260879,0.086798035,0.086460777,1.996114451,31.94,22.3785,20.14133121
13,trunk_output.block1.block1-0.f.c.1,BatchNorm2d,,,4.426490307,4.59223175,0.999258578,,5.657204066,0.212121174,0.217480466,0.000293312,0.483151048,1.114986658,0.173258811,0.309892237,2.788608816,-0.02,0.390666667,3.555199567
14,trunk_output.block1.block1-0.activation,ReLU,,,,,,0.36941126,12.44336076,0.10498631,0.002539062,0.003354546,0.164974645,0.470439047,0.483151048,-0.318176404,0.341455628,0,0.001833333,3.026177041
15,trunk_output.block2.block2-0.proj.0,Conv2d,34.37918091,29.57172203,0.009254164,0.009109027,0.993207932,,18.93822762,0.021529524,0.045922853,0.000683928,0.112388737,0.235774755,0.164974645,-0.052585907,0.68124855,-0.2,-0.061333333,5.093611706
16,trunk_output.block2.block2-0.proj.1,BatchNorm2d,,,0.507879615,0.515765369,0.997804999,,21.62011336,0.050585426,0.021728516,0.000635293,0.070089705,0.030232668,0.112388737,-0.042299032,0.623636379,0.06,0.020166667,5.000677875
17,trunk_output.block2.block2-0.f.a.0,Conv2d,13.8700161,12.29663277,0.032627854,0.032072321,0.992610395,,13.93883625,0.057408176,0.082421876,0.000586181,0.195741624,1.723558784,0.070089705,0.125651918,2.792730014,40.02,27.441,25.42068604
18,trunk_output.block2.block2-0.f.a.1,BatchNorm2d,,,0.879018605,0.888117373,0.999185383,,10.61541727,0.049559619,0.004101562,0.002546165,0.220384926,0.157452911,0.195741624,0.024643302,1.125897096,0.1,0.060166667,3.210330229
19,trunk_output.block2.block2-0.f.a.2,ReLU,,,,,,0.44149664,10.61541727,0.049559619,0.004101562,0.002546165,0.220384926,0.157452911,0.220384926,0,1,-0.02,0.0005,3.149713338
20,trunk_output.block2.block2-0.f.b.0,Conv2d,131.3990479,126.3352585,0.016045466,0.015799351,0.992312729,,7.754583349,0.075518861,0.132446289,0.000293141,0.407102317,1.312074065,0.220384926,0.186717391,1.847233042,1.42,1.386666667,2.992260141
21,trunk_output.block2.block2-0.f.b.1,BatchNorm2d,,,0.855231762,0.907405734,0.997597158,,9.717601542,0.076704808,0.001513672,0.000490208,0.227232262,0.321431726,0.407102317,-0.179870054,0.558169908,0.14,0.093,2.631684903
22,trunk_output.block2.block2-0.f.b.2,ReLU,,,,,,0.341982514,9.717601542,0.076704808,0.001513672,0.000490208,0.227232262,0.321431726,0.227232262,0,1,0.04,0.0375,3.083611925
23,trunk_output.block2.block2-0.f.c.0,Conv2d,967.5690308,1569.064331,0.01882083,0.018353015,0.987562597,,10.76342494,0.06929259,0.088452145,0.000513046,0.289255679,1.619927645,0.227232262,0.062023416,1.272951629,32.46,21.21683333,18.97966454
24,trunk_output.block2.block2-0.f.c.1,BatchNorm2d,,,1.42980206,1.500896692,0.998769045,,1.965502908,0.11007566,0.194213867,0.000415394,0.656007767,2.51150775,0.289255679,0.366752088,2.26791664,0.12,0.593666667,4.546488121
25,trunk_output.block2.block2-0.activation,ReLU,,,,,,0.249524236,8.07115275,0.068115123,0.001098633,0.000962488,0.246211931,1.185592651,0.656007767,-0.409795836,0.375318622,-0.02,-0.010666667,2.472192099
26,trunk_output.block2.block2-1.f.a.0,Conv2d,1528.467896,1495.776245,0.009264615,0.009060346,0.988980174,,12.59211648,0.055418689,0.062646486,0.000390778,0.23194401,2.258595467,0.246211931,-0.014267921,0.942050244,0.46,5.627,5.275359181
27,trunk_output.block2.block2-1.f.a.1,BatchNorm2d,,,0.515191793,0.524241924,0.998534918,,4.993462899,0.069178753,0.007910157,0.005014291,0.3950679,0.265261739,0.23194401,0.163123891,1.703289949,-0.08,-0.0485,3.202889972
28,trunk_output.block2.block2-1.f.a.2,ReLU,,,,,,0.441988796,4.993462899,0.069178753,0.007910157,0.005014291,0.3950679,0.265261739,0.3950679,0,1,0.02,0.008,2.43629258
29,trunk_output.block2.block2-1.f.b.0,Conv2d,87.89404297,74.87260437,0.010928513,0.010657696,0.987830937,,4.586474105,0.19647114,0.136450201,0.000415364,0.566631198,0.607610345,0.3950679,0.171563298,1.434262812,0.94,2.678666667,3.855150597
30,trunk_output.block2.block2-1.f.b.1,BatchNorm2d,,,0.389455527,0.388454378,0.999706268,,8.061380891,0.083551317,0.010375977,0.012610712,0.320926845,0.174253121,0.566631198,-0.245704353,0.566376942,0.02,0.013,2.508781211
31,trunk_output.block2.block2-1.f.b.2,ReLU,,,,,,0.618190467,8.061380891,0.083551317,0.010375977,0.012610712,0.320926845,0.174253121,0.320926845,0,1,0,-0.006666667,2.524818221
32,trunk_output.block2.block2-1.f.c.0,Conv2d,418.8112488,1275.216919,0.010187263,0.009973665,0.989628494,,11.44781559,0.067946494,0.10559082,0.000464241,0.267622054,0.362249941,0.320926845,-0.053304791,0.833903607,0.38,0.916,3.078259241
33,trunk_output.block2.block2-1.f.c.1,BatchNorm2d,,,1.20387888,1.236446738,0.998241961,,10.50559795,0.071834236,0.054492187,0.000586238,0.287787557,0.498654753,0.267622054,0.020165503,1.075350677,0.1,0.0685,2.575890216
34,trunk_output.block2.block2-1.activation,ReLU,,,,,,0.17142126,9.038471516,0.078286991,0.001171875,0.000835032,0.202561677,1.227032185,0.287787557,-0.08522588,0.703858356,0.02,0.068833333,2.569161641
35,trunk_output.block2.block2-2.f.a.0,Conv2d,1626.154785,969.4182129,0.009828969,0.009626984,0.989810109,,13.76734832,0.106375635,0.044506837,0.000415151,0.204789132,1.901271582,0.202561677,0.002227455,1.01099643,1.1,7.693833333,6.395864742
36,trunk_output.block2.block2-2.f.a.1,BatchNorm2d,,,0.448772311,0.455627471,0.999517977,,2.745904567,0.083396278,0.011035156,0.011769672,0.430932522,0.182929516,0.204789132,0.22614339,2.104274372,-0.02,-0.020333333,3.211063069
37,trunk_output.block2.block2-2.f.a.2,ReLU,,,,,,0.434467018,2.745904567,0.083396278,0.011035156,0.011769672,0.430932522,0.182929516,0.430932522,0,1,-0.02,-0.008333333,2.455574488
38,trunk_output.block2.block2-2.f.b.0,Conv2d,56.56608582,58.84235764,0.008868295,0.008680261,0.989338875,,6.927558423,0.187104896,0.143872067,0.007424413,0.405839771,0.368497908,0.430932522,-0.025092751,0.941771044,-0.04,0.1355,2.380639614
39,trunk_output.block2.block2-2.f.b.1,BatchNorm2d,,,0.447332859,0.466227323,0.999372959,,8.423428849,0.13539806,0.008276368,0.006099224,0.305433035,0.141256645,0.405839771,-0.100406736,0.752595129,-0.04,-0.0325,2.537313687
40,trunk_output.block2.block2-2.f.b.2,ReLU,,,,,,0.592674851,8.423428849,0.13539806,0.008276368,0.006099224,0.305433035,0.141256645,0.305433035,0,1,-0.06,-0.041333333,2.547131169
41,trunk_output.block2.block2-2.f.c.0,Conv2d,3570.083984,1462.314331,0.008879942,0.008737424,0.991463006,,11.27647315,0.101680152,0.063232422,0.000488412,0.264650017,0.189643919,0.305433035,-0.040783018,0.866474765,0.78,1.020333333,2.993651626
42,trunk_output.block2.block2-2.f.c.1,BatchNorm2d,,,0.962245643,0.97692585,0.998643517,,8.495819384,0.07186228,0.079418942,0.000586181,0.374457061,0.527739406,0.264650017,0.109807044,1.414914178,0.02,0.013166667,2.581105204
43,trunk_output.block2.block2-2.activation,ReLU,,,,,,0.17366074,9.983870773,0.05852887,0.000195313,0.000756984,0.185303077,1.306760192,0.374457061,-0.189153984,0.494858012,0.02,0.807166667,2.822912831
44,trunk_output.block3.block3-0.proj.0,Conv2d,23.29392242,19.47597504,0.003015549,0.002940119,0.987398267,,13.36115213,0.02408741,0.08964844,0.000510337,0.214697644,0.794788778,0.185303077,0.029394567,1.158629676,3.86,8.856666667,8.657833916
45,trunk_output.block3.block3-0.proj.1,BatchNorm2d,,,0.294066429,0.291189075,0.994450271,,10.79240459,0.01904008,0.05842014,0.000586294,0.233651578,0.131359398,0.214697644,0.018953934,1.088281986,-0.02,0.0185,3.186475344
46,trunk_output.block3.block3-0.f.a.0,Conv2d,24.91653824,19.38142586,0.012087881,0.011824134,0.988940775,,14.03076608,0.023350472,0.076855466,0.000673094,0.198664799,3.245141268,0.233651578,-0.034986779,0.850260891,81.04,56.53683333,54.29966454
47,trunk_output.block3.block3-0.f.a.1,BatchNorm2d,,,0.301878989,0.302786022,0.999750316,,-2.118539768,0.152407065,0.007096354,0.007871101,0.780320168,0.112950146,0.198664799,0.581655368,3.927822997,0.02,0.678,3.98831958
48,trunk_output.block3.block3-0.f.a.2,ReLU,,,,,,0.762518764,-2.118539768,0.152407065,0.007096354,0.007871101,0.780320168,0.112950146,0.780320168,0,1,0,-0.004333333,2.455847885
49,trunk_output.block3.block3-0.f.b.0,Conv2d,70.65437317,54.72647476,0.006591194,0.006506826,0.993623435,,1.077931332,0.042915873,0.177907988,0.00071662,0.865284681,0.705447793,0.780320168,0.084964514,1.10888417,0.02,0.066333333,2.198087414
50,trunk_output.block3.block3-0.f.b.1,BatchNorm2d,,,0.209186181,0.216748193,0.999466538,,5.039272263,0.032158013,0.006076389,0.00691385,0.326273471,0.546164095,0.865284681,-0.53901121,0.377070666,0.04,0.024333333,2.498769369
51,trunk_output.block3.block3-0.f.b.2,ReLU,,,,,,0.221549004,5.039272263,0.032158013,0.006076389,0.00691385,0.326273471,0.546164095,0.326273471,0,1,0,0.01,2.517262895
52,trunk_output.block3.block3-0.f.c.0,Conv2d,15129.93848,27117.64844,0.006209443,0.006015987,0.984566152,,7.675593441,0.02998204,0.116124131,0.000412492,0.411777586,1.684173942,0.326273471,0.085504115,1.262062724,18.38,15.37283333,14.46555098
53,trunk_output.block3.block3-0.f.c.1,BatchNorm2d,,,0.896806717,0.911879063,0.997858107,,0.093672208,0.043505497,0.205078125,0.000434226,0.839254916,1.868743539,0.411777586,0.42747733,2.038126758,-0.06,0.03,3.891844581
54,trunk_output.block3.block3-0.activation,ReLU,,,,,,0.245136663,4.566372492,0.015995424,0.010069445,0.010784881,0.370429814,1.171396494,0.839254916,-0.468825102,0.441379379,-0.04,0.150833333,2.270054995
55,trunk_output.block3.block3-1.f.a.0,Conv2d,1707.157104,1885.363525,0.002774388,0.002687688,0.984235883,,8.303554428,0.017438453,0.12829861,0.000553716,0.383462012,1.880663872,0.370429814,0.013032198,1.035181288,3.04,5.510833333,7.767788672
56,trunk_output.block3.block3-1.f.a.1,BatchNorm2d,,,0.222928703,0.225171655,0.999449551,,3.67910918,0.020898603,0.052907985,0.044050697,0.500379384,0.214946255,0.383462012,0.116917372,1.30489949,0,0.011,2.529066072
57,trunk_output.block3.block3-1.f.a.2,ReLU,,,,,,0.523397684,3.67910918,0.020898603,0.052907985,0.044050697,0.500379384,0.214946255,0.500379384,0,1,0.04,0.021666667,2.459014223
58,trunk_output.block3.block3-1.f.b.0,Conv2d,22.09467316,18.0570507,0.00468122,0.00457342,0.988063812,,5.647829316,0.093014307,0.188650176,0.000760266,0.510446668,0.274054825,0.500379384,0.010067284,1.020119302,0.06,1.132666667,4.296681347
59,trunk_output.block3.block3-1.f.b.1,BatchNorm2d,,,0.32761845,0.325434715,0.999473512,,0.177992893,0.04577677,0.084960938,0.059662405,0.781475902,0.167336702,0.510446668,0.271029234,1.530964841,0.04,0.027,2.56637974
60,trunk_output.block3.block3-1.f.b.2,ReLU,,,,,,0.696078837,0.177992893,0.04577677,0.084960938,0.059662405,0.781475902,0.167336702,0.781475902,0,1,0,-0.001,2.482425057
61,trunk_output.block3.block3-1.f.c.0,Conv2d,1883.123413,1630.69812,0.003266538,0.003170755,0.985105693,,3.243528915,0.042552128,0.237228736,0.000510248,0.688042581,0.231104299,0.781475902,-0.093433321,0.880439921,0.36,1.849,6.256195746
62,trunk_output.block3.block3-1.f.c.1,BatchNorm2d,,,1.001948714,1.018030047,0.996119022,,7.310281095,0.024620989,0.095421009,0.000412523,0.428091824,0.446980417,0.688042581,-0.259950757,0.622187981,-0.02,-0.008166667,2.648963333
63,trunk_output.block3.block3-1.activation,ReLU,,,,,,0.174886212,5.313465552,0.025698885,0.006976997,0.007905917,0.314256042,1.103895068,0.428091824,-0.113835782,0.734085597,0.04,0.025333333,2.46289888
64,trunk_output.block3.block3-2.f.a.0,Conv2d,15464.16016,11201.32715,0.00314254,0.003023089,0.980865479,,7.977511107,0.022245467,0.128038198,0.000629634,0.398062646,1.826391935,0.314256042,0.083806604,1.266682555,6.86,7.096166667,8.757053512
65,trunk_output.block3.block3-2.f.a.1,BatchNorm2d,,,0.170177907,0.17203626,0.999507606,,0.294546269,0.068861365,0.043229166,0.040559673,0.657713532,0.213126451,0.398062646,0.259650886,1.652286489,0.06,0.037666667,2.548519715
66,trunk_output.block3.block3-2.f.a.2,ReLU,,,,,,0.557935953,0.294546269,0.068861365,0.043229166,0.040559673,0.657713532,0.213126451,0.657713532,0,1,-0.04,-0.017166667,2.472118865
67,trunk_output.block3.block3-2.f.b.0,Conv2d,17.31458855,16.23686981,0.004392962,0.004300505,0.989522696,,1.422487499,0.048841156,0.180794269,0.000781818,0.76541245,0.271626145,0.657713532,0.107698917,1.163747456,0.2,0.1825,2.835249387
68,trunk_output.block3.block3-2.f.b.1,BatchNorm2d,,,0.290629715,0.296847731,0.999087989,,0.853657236,0.038560078,0.064973958,0.043037133,0.739919126,0.173791066,0.76541245,-0.025493324,0.966693351,0.04,0.024,2.457610902
69,trunk_output.block3.block3-2.f.b.2,ReLU,,,,,,0.650258064,0.853657236,0.038560078,0.064973958,0.043037133,0.739919126,0.173791066,0.739919126,0,1,-0.02,-0.009333333,2.480117095
70,trunk_output.block3.block3-2.f.c.0,Conv2d,3494.175049,24518.13867,0.003034339,0.002953463,0.986466229,,3.324078647,0.019410245,0.23258464,0.000531932,0.662074685,0.200178489,0.739919126,-0.077844441,0.894793312,0.4,1.677,6.787398003
71,trunk_output.block3.block3-2.f.c.1,BatchNorm2d,,,0.469297677,0.48540917,0.997965217,,5.130403435,0.041071564,0.133062065,0.000369152,0.550126314,0.492290288,0.662074685,-0.111948371,0.830912775,0,-0.001666667,2.436558607
72,trunk_output.block3.block3-2.activation,ReLU,,,,,,0.219476849,6.050477771,0.036758836,0.008658854,0.01057034,0.305571288,1.23591125,0.550126314,-0.244555026,0.555456592,0.04,0.0455,2.443906462
73,trunk_output.block3.block3-3.f.a.0,Conv2d,797.8556519,1233.286255,0.003142217,0.003042292,0.9840644,,7.779677781,0.055502009,0.114822045,0.000575436,0.405608833,2.213688135,0.305571288,0.100037545,1.327378746,7.9,8.589333333,9.434260019
74,trunk_output.block3.block3-3.f.a.1,BatchNorm2d,,,0.145338356,0.144670784,0.999547124,,-0.487936539,0.142823741,0.053417969,0.049897057,0.736405134,0.17442733,0.405608833,0.330796301,1.815554975,0,0.003333333,2.677630858
75,trunk_output.block3.block3-3.f.a.2,ReLU,,,,,,0.617964327,-0.487936539,0.142823741,0.053417969,0.049897057,0.736405134,0.17442733,0.736405134,0,1,0.02,0.009833333,2.468793725
76,trunk_output.block3.block3-3.f.b.0,Conv2d,17.10378075,15.29181671,0.003615817,0.003540716,0.989643335,,0.832437703,0.046623945,0.236046001,0.000521207,0.888101339,0.247428954,0.736405134,0.151696205,1.205995583,0.06,0.297666667,2.939533273
77,trunk_output.block3.block3-3.f.b.1,BatchNorm2d,,,0.247233912,0.247389585,0.999340296,,1.119613265,0.073541827,0.062847219,0.050997535,0.726706862,0.233618245,0.888101339,-0.161394477,0.818270202,0.02,0.012,2.447348186
78,trunk_output.block3.block3-3.f.b.2,ReLU,,,,,,0.6453439,1.119613265,0.073541827,0.062847219,0.050997535,0.726706862,0.233618245,0.726706862,0,1,0,-0.001666667,2.476524097
79,trunk_output.block3.block3-3.f.c.0,Conv2d,3288.25293,6490.991211,0.002774917,0.002706077,0.987480521,,3.689631198,0.044255421,0.189735249,0.000423402,0.653548121,0.227919161,0.726706862,-0.073158741,0.899328402,0.64,1.886666667,6.938923498
80,trunk_output.block3.block3-3.f.c.1,BatchNorm2d,,,0.573350012,0.59090358,0.997346938,,2.669245398,0.052537546,0.20009765,0.000412582,0.725800157,0.754671037,0.653548121,0.072252035,1.110553504,0.02,0.071833333,2.43708131
81,trunk_output.block3.block3-3.activation,ReLU,,,,,,0.224755943,6.191840264,0.047146242,0.00500217,0.006711045,0.306801438,1.419750094,0.725800157,-0.418998718,0.42270787,0.04,0.311833333,2.342426024
82,trunk_output.block3.block3-4.f.a.0,Conv2d,3415.40332,711.9880371,0.003097061,0.00301178,0.986223221,,7.478843041,0.035264067,0.136425778,0.000456006,0.418836027,2.554740667,0.306801438,0.112034589,1.3651697,7.36,6.799166667,7.485889767
83,trunk_output.block3.block3-4.f.a.1,BatchNorm2d,,,0.169677943,0.17499657,0.999441504,,0.865900769,0.185631096,0.064952254,0.064264032,0.668921709,0.102017358,0.418836027,0.250085682,1.597096872,-0.02,-0.011333333,2.592281569
84,trunk_output.block3.block3-4.f.a.2,ReLU,,,,,,0.705214024,0.865900769,0.185631096,0.064952254,0.064264032,0.668921709,0.102017358,0.668921709,0,1,0,-0.002166667,2.480940532
85,trunk_output.block3.block3-4.f.b.0,Conv2d,21.57975197,18.92348671,0.003517458,0.003442409,0.989587367,,2.792763019,0.099340655,0.208138019,0.000575362,0.69939661,0.133248717,0.668921709,0.030474901,1.045558248,0.14,0.190333333,3.101451073
86,trunk_output.block3.block3-4.f.b.1,BatchNorm2d,,,0.31281516,0.313494802,0.999221265,,2.295462243,0.080474138,0.115538195,0.092863373,0.629186451,0.105299123,0.69939661,-0.070210159,0.899613241,-0.04,-0.0315,2.360467712
87,trunk_output.block3.block3-4.f.b.2,ReLU,,,,,,0.684398413,2.295462243,0.080474138,0.115538195,0.092863373,0.629186451,0.105299123,0.629186451,0,1,-0.02,-0.017833333,2.381223437
88,trunk_output.block3.block3-4.f.c.0,Conv2d,1365.017578,1497.518311,0.002601704,0.002536965,0.987645864,,4.599164242,0.030818198,0.183832467,0.000770843,0.576008916,0.099716984,0.629186451,-0.053177536,0.915482071,0.2,0.444833333,4.214568286
89,trunk_output.block3.block3-4.f.c.1,BatchNorm2d,,,0.699318051,0.707837939,0.997512281,,5.197369767,0.041173309,0.146614581,0.000488477,0.541277647,0.377883822,0.576008916,-0.034731269,0.939703592,-0.02,-0.012166667,2.343533007
90,trunk_output.block3.block3-4.activation,ReLU,,,,,,0.211202264,6.625196977,0.057888567,0.003092448,0.001632262,0.293839246,1.433755517,0.541277647,-0.247438401,0.542862333,-0.08,0.227,2.379900906
91,trunk_output.block3.block3-5.f.a.0,Conv2d,70730.50781,1292.12146,0.003090474,0.003020947,0.988422871,,7.569509305,0.042981688,0.148914933,0.00055368,0.409002364,2.442816496,0.293839246,0.115163118,1.391925582,2.94,3.374166667,5.284530781
92,trunk_output.block3.block3-5.f.a.1,BatchNorm2d,,,0.142698273,0.146584734,0.999721169,,-0.411771576,0.184938267,0.050835505,0.050787074,0.713763654,0.070881963,0.409002364,0.304761291,1.745133323,0,-0.006833333,2.671571853
93,trunk_output.block3.block3-5.f.a.2,ReLU,,,,,,0.737611532,-0.411771576,0.184938267,0.050835505,0.050787074,0.713763654,0.070881963,0.713763654,0,1,-0.04,-0.025833333,2.480899784
94,trunk_output.block3.block3-5.f.b.0,Conv2d,23.88268089,21.75690651,0.003075763,0.003008035,0.988812685,,0.685736505,0.01748856,0.262304693,0.00089052,0.899462402,0.09710373,0.713763654,0.185698748,1.2601684,0.28,0.349,2.916514797
95,trunk_output.block3.block3-5.f.b.1,BatchNorm2d,,,0.138690352,0.140204281,0.999648511,,5.178081179,0.126730636,0.078938805,0.075500975,0.460383326,0.127199709,0.899462402,-0.439079076,0.511842768,0.02,0.005,2.477093891
96,trunk_output.block3.block3-5.f.b.2,ReLU,,,,,,0.649565399,5.178081179,0.126730636,0.078938805,0.075500975,0.460383326,0.127199709,0.460383326,0,1,-0.02,-0.014833333,2.496969498
97,trunk_output.block3.block3-5.f.c.0,Conv2d,16561.01758,644.3259277,0.002516512,0.002462714,0.989340425,,7.593479582,0.031479422,0.148578554,0.000531967,0.417044997,0.123597249,0.460383326,-0.043338329,0.905864687,0.36,0.3165,2.415599766
98,trunk_output.block3.block3-5.f.c.1,BatchNorm2d,,,0.83826673,0.833310366,0.997827291,,3.745561134,0.035555664,0.168424472,0.000553722,0.599155426,0.633563578,0.417044997,0.182110429,1.436668537,0,0.003833333,2.35032408
99,trunk_output.block3.block3-5.activation,ReLU,,,,,,0.234423265,6.839361754,0.092530496,0.003092448,0.003712065,0.297983617,1.540403247,0.599155426,-0.301171809,0.497339428,0.04,1.632666667,3.692154337
100,trunk_output.block3.block3-6.f.a.0,Conv2d,2214.963379,45632.79297,0.002938473,0.002878822,0.989813745,,8.676126871,0.04553682,0.125065103,0.000640552,0.361001879,2.511420965,0.297983617,0.063018262,1.211482306,2.48,5.036,7.161483089
101,trunk_output.block3.block3-6.f.a.1,BatchNorm2d,,,0.110100895,0.113041371,0.999734163,,1.05595804,0.181103975,0.056087241,0.056062782,0.635199726,0.080702253,0.361001879,0.274197847,1.759546868,-0.08,-0.055666667,2.713645881
102,trunk_output.block3.block3-6.f.a.2,ReLU,,,,,,0.716367841,1.05595804,0.181103975,0.056087241,0.056062782,0.635199726,0.080702253,0.635199726,0,1,0.04,0.020166667,2.465427021
103,trunk_output.block3.block3-6.f.b.0,Conv2d,36.24802399,27.15774345,0.003177942,0.003106543,0.988726497,,1.723966512,0.020089231,0.21104601,0.000651374,0.799802601,0.132718578,0.635199726,0.164602876,1.259135622,0.18,0.250833333,2.987621452
104,trunk_output.block3.block3-6.f.b.1,BatchNorm2d,,,0.232202411,0.239692435,0.999072969,,2.4184583,0.139476985,0.114355467,0.110713038,0.618126631,0.114444211,0.799802601,-0.181675971,0.772848988,-0.02,-0.016666667,2.354549833
105,trunk_output.block3.block3-6.f.b.2,ReLU,,,,,,0.706833899,2.4184583,0.139476985,0.114355467,0.110713038,0.618126631,0.114444211,0.618126631,0,1,0,-0.003,2.373479703
106,trunk_output.block3.block3-6.f.c.0,Conv2d,46601.5625,2418.380615,0.002475695,0.00242988,0.990800738,,3.955860058,0.022822239,0.159125432,0.000542829,0.600724757,0.121205814,0.618126631,-0.017401874,0.971847396,0.26,0.863,3.851465741
107,trunk_output.block3.block3-6.f.c.1,BatchNorm2d,,,0.776088893,0.787159741,0.998710871,,6.063881188,0.033780843,0.123209633,0.001010101,0.445103675,0.54122436,0.600724757,-0.155621082,0.740944451,-0.04,-0.0235,2.30821658
108,trunk_output.block3.block3-6.activation,ReLU,,,,,,0.268982828,8.321551812,0.066286445,0.001833767,0.002680674,0.263506442,1.244122624,0.445103675,-0.181597233,0.592011383,0.02,0.013166667,2.461661129
109,trunk_output.block4.block4-0.proj.0,Conv2d,13.9286623,13.27835846,0.00118225,0.001161654,0.991263568,,9.399517405,0.008720586,0.105003722,0.000497853,0.336589456,0.719633937,0.263506442,0.073083013,1.277348108,5.84,9.3245,11.25112365
110,trunk_output.block4.block4-0.proj.1,BatchNorm2d,,,0.224480107,0.227832988,0.998222172,,5.002035232,0.014792686,0.142694384,0.000558327,0.545027196,0.395235419,0.336589456,0.208437741,1.619264024,0.04,0.0535,2.306905521
111,trunk_output.block4.block4-0.f.a.0,Conv2d,17.31316566,16.09634781,0.004073707,0.003990511,0.989688277,,9.824033803,0.009673972,0.087630205,0.000493202,0.316697299,2.438034534,0.545027196,-0.228329897,0.581066966,30.3,22.73716667,20.87282529
112,trunk_output.block4.block4-0.f.a.1,BatchNorm2d,,,0.091446526,0.09270072,0.999762952,,-0.961748407,0.316646934,0.06394159,0.063056786,0.767299294,0.01666588,0.316697299,0.450601995,2.422816032,0.04,0.034333333,2.678604624
113,trunk_output.block4.block4-0.f.a.2,ReLU,,,,,,0.901823819,-0.961748407,0.316646934,0.06394159,0.063056786,0.767299294,0.01666588,0.767299294,0,1,-0.04,-0.026833333,2.494784124
114,trunk_output.block4.block4-0.f.b.0,Conv2d,37.67676926,29.16234016,0.002909748,0.002866989,0.992758155,,0.583123689,0.071912207,0.300223202,0.001032914,0.88687396,0.042179298,0.767299294,0.119574666,1.155838363,0.08,0.15,2.119829915
115,trunk_output.block4.block4-0.f.b.1,BatchNorm2d,,,0.097484857,0.10388869,0.99769628,,4.309202485,0.050970487,0.012230283,0.012041885,0.400087684,0.297643632,0.88687396,-0.486786276,0.451121244,-0.02,-0.017166667,2.455286043
116,trunk_output.block4.block4-0.f.b.2,ReLU,,,,,,0.272975862,4.309202485,0.050970487,0.012230283,0.012041885,0.400087684,0.297643632,0.400087684,0,1,0.04,0.028333333,2.432120747
117,trunk_output.block4.block4-0.f.c.0,Conv2d,5006.243652,2414.100098,0.002458441,0.002406237,0.989290297,,6.734359325,0.009399881,0.13883464,0.000516474,0.423774868,0.721924245,0.400087684,0.023687184,1.059204981,24.28,18.21266667,16.21240603
